date,pred,ploba,label
20150113.0,1,0.7070852119361696,0
20150114.0,1,0.6309599938570717,0
20150115.0,1,0.635596170851683,0
20150116.0,1,0.5259450656209387,0
20150119.0,0,0.4954704250801629,0
20150120.0,1,0.5130672731084048,0
20150121.0,1,0.5353308361308783,0
20150122.0,1,0.561022176409014,0
20150123.0,1,0.5677597956835462,0
20150126.0,1,0.5877210242941515,0
20150127.0,1,0.5140660611948458,0
20150128.0,1,0.6370146521334282,0
20150129.0,0,0.47572699170681176,0
20150130.0,0,0.4841556683341458,0
20150202.0,1,0.6679361062016735,0
20150203.0,1,0.55336465092199,0
20150204.0,1,0.671530311586679,0
20150205.0,0,0.3943367901540053,0
20150206.0,0,0.4923128611881669,0
20150210.0,1,0.5479362905565851,0
20150212.0,0,0.47019349649542663,0
20150213.0,1,0.5775865544912485,0
20150216.0,1,0.5101746084737818,0
20150217.0,1,0.5261754950177879,0
20150218.0,1,0.5446752182058257,0
20150219.0,1,0.5335722003659413,0
20150220.0,0,0.41249327060806296,0
20150223.0,0,0.49790930012564133,0
20150224.0,0,0.47603959139106533,0
20150225.0,0,0.3721735812848763,0
20150226.0,0,0.46498643514099536,0
20150227.0,0,0.39948317942021866,0
20150302.0,1,0.5515753007333856,0
20150303.0,1,0.5159409862870479,0
20150304.0,1,0.5869908334961033,0
20150305.0,1,0.6753583578596865,0
20150306.0,1,0.6661835008980818,0
20150309.0,1,0.564136804124572,0
20150310.0,0,0.3670711319644126,0
20150311.0,1,0.534812247053388,0
20150312.0,1,0.5540573820672907,0
20150313.0,0,0.3755360470857758,0
20150316.0,0,0.48842626063649236,0
20150317.0,0,0.4334732435132735,0
20150318.0,0,0.35903281566972306,0
20150319.0,0,0.46550075960924947,0
20150320.0,0,0.49138130157737436,0
20150323.0,1,0.500472441345492,0
20150324.0,0,0.49785601628176457,0
20150325.0,0,0.3862855193849409,0
20150326.0,0,0.48804598811094585,0
20150327.0,0,0.47872249319741084,0
20150330.0,0,0.49923402986391713,0
20150331.0,0,0.48610657056541334,0
20150401.0,0,0.48387096774193555,0
20150402.0,1,0.5031853063925389,0
20150403.0,0,0.4802014190320135,0
