date,pred,proba,label
20141211,1,0.5816092226613966,0
20141212,0,0.42916825646260653,0
20141215,1,0.5331250309045396,0
20141216,1,0.8167901492225599,0
20141217,1,0.6014232224942756,0
20141218,1,0.5560123669635746,0
20141219,0,0.43318497902347486,0
20141222,0,0.36080128205128204,0
20141224,1,0.5058066700741118,0
20141225,1,0.5321428571428571,0
20141226,1,0.5744369444928863,0
20141229,0,0.41942179714142724,0
20141230,0,0.47869318071469386,0
20150105,1,0.6470889587362991,0
20150106,1,0.6033833856945063,0
20150107,1,0.6165245130683229,0
20150108,1,0.6355700803281548,0
20150109,1,0.5039239008268283,0
20150113,1,0.5454310241125936,0
20150114,1,0.5003613125171458,0
20150115,1,0.5047046154004617,0
20150116,1,0.6492832143890442,0
20150119,0,0.35940600280599533,0
20150120,0,0.30129310366089695,0
20150121,0,0.4128016750583198,0
20150122,0,0.3390880262561188,0
20150123,1,0.5439792330387406,0
20150126,0,0.2840988902904472,0
20150127,0,0.44214415764802495,0
20150128,0,0.44302535921456715,0
20150129,0,0.29906599698905034,0
20150130,0,0.44775522821968744,0
20150202,0,0.338728687394477,0
20150203,0,0.2866351703312013,0
20150204,0,0.40331479482915333,0
20150205,0,0.30240787696364013,0
20150206,0,0.35363896614230383,0
20150209,0,0.41427737070658865,0
20150210,0,0.4492689716044662,0
20150212,0,0.4781975034738306,0
20150213,0,0.3677024983152826,0
20150216,0,0.3779161607792044,0
20150217,1,0.5012750318175405,0
20150218,0,0.47293879443727,0
20150219,0,0.44225938213456284,0
20150220,0,0.36141477045796905,0
20150223,0,0.45391016457829214,0
20150224,1,0.5145253096621416,0
20150225,1,0.5746745631320205,0
20150226,1,0.638884370102301,0
20150227,1,0.6316994221608665,0
20150302,0,0.43283932220611226,0
20150303,0,0.3416384675807606,0
20150304,0,0.32041893563952395,0
20150305,0,0.39169847726121676,0
20150306,0,0.40701208113619197,0
20150309,0,0.3976920583896391,0
20150310,1,0.5465291701994941,0
20150311,0,0.3555288855986996,0
20150312,0,0.4058218406980017,0
20150313,0,0.4577092352092352,0
20150316,0,0.3566206287905652,0
20150317,0,0.4370612760618219,0
20150318,1,0.502577795877708,0
20150319,0,0.4256377980793439,0
20150320,0,0.4538336792186736,0
20150323,0,0.4203937281211872,0
20150324,1,0.5466073324823326,0
20150325,0,0.46488971015436453,0
20150326,0,0.42079235016191546,0
20150327,1,0.6878482264802673,0
20150330,0,0.49070462130659626,0
20150331,0,0.4389047633189488,0
20150401,1,0.7547215022787072,0
20150402,0,0.497765603678154,0
20150403,0,0.4990277777777778,0
20150406,0,0.26650462138167064,0
20150407,1,0.5639345122240236,0
20150408,0,0.4460766970752256,0
20150409,1,0.5090346100312696,0
20150410,1,0.5500772168686134,0
20150413,0,0.38868250828833245,0
20150414,0,0.3538117427000247,0
20150415,0,0.44889079560924494,0
20150416,0,0.40169249367410037,0
20150417,0,0.36298910675381263,0
20150420,0,0.38423812576179267,0
20150421,1,0.5075120961303166,0
20150422,0,0.4692609615540711,0
20150423,0,0.26493029372061633,0
20150424,0,0.38169846110342887,0
20150427,0,0.21002747252747256,0
20150428,0,0.460585191151985,0
20150430,1,0.6052069852298387,0
20150501,0,0.4733080686836027,0
20150507,0,0.4650946241893697,0
20150508,0,0.40150423216676967,0
20150511,0,0.267625001203669,0
20150512,0,0.3443374255281718,0
20150513,0,0.2062182932096661,0
20150514,0,0.3014593326190709,0
20150515,0,0.4098294741662207,0
20150518,0,0.3544273744286373,0
20150519,0,0.4504975364134296,0
20150520,0,0.46314170092792906,0
20150521,0,0.42980026939277804,0
20150522,0,0.31882499999999997,0
20150525,0,0.37545807540691273,0
20150526,0,0.4393829657468517,0
20150527,0,0.4534984251345069,0
20150528,0,0.3598346067038349,0
20150529,1,0.5741638021079399,0
