date,pred,proba,label
20141211,1,0.5022822259439906,0
20141212,0,0.46758861524130263,0
20141215,1,0.5598652006795849,0
20141216,1,0.8524299101127315,0
20141217,1,0.5353548531783661,0
20141218,1,0.5079650442347045,0
20141219,0,0.39151924221585704,0
20141222,0,0.29686681162921197,0
20141224,1,0.6046499693600799,0
20141225,1,0.5026327758990122,0
20141226,0,0.429939021766804,0
20141229,0,0.48449134560475804,0
20141230,0,0.4387893636287999,0
20150105,1,0.5784867349574353,0
20150106,1,0.621834382208624,0
20150107,0,0.44030700611711654,0
20150108,1,0.5934106794764689,0
20150109,0,0.45812465552063847,0
20150113,1,0.5349398791123078,0
20150114,1,0.5009581156419114,0
20150115,1,0.5009917541130766,0
20150116,1,0.6414803710125632,0
20150119,0,0.4413837762073576,0
20150120,0,0.45133390022675735,0
20150121,0,0.43181345551977274,0
20150122,0,0.43654986686833674,0
20150123,1,0.590068693182982,0
20150126,0,0.45385798459382143,0
20150127,1,0.5009726654298082,0
20150128,1,0.501838467764617,0
20150129,0,0.23585968226553763,0
20150130,0,0.3862400733320595,0
20150202,0,0.4527740875983952,0
20150203,0,0.41853879140544165,0
20150204,0,0.43520814608995356,0
20150205,0,0.2556350371636741,0
20150206,0,0.39604575555792443,0
20150209,0,0.37925405927619016,0
20150210,0,0.380656845932584,0
20150212,0,0.35740347635778463,0
20150213,0,0.3659109248625135,0
20150216,0,0.3131882501802225,0
20150217,0,0.351308014058014,0
20150218,0,0.38604986352972764,0
20150219,0,0.4079409996821666,0
20150220,0,0.3901930272981628,0
20150223,0,0.32596720701492315,0
20150224,1,0.6308638814792171,0
20150225,1,0.5030228431728094,0
20150226,1,0.6161564576088523,0
20150227,0,0.46284632083412597,0
20150302,0,0.3117028317324484,0
20150303,0,0.43789171203713745,0
20150304,0,0.4110240490322545,0
20150305,0,0.3927739425003843,0
20150306,0,0.313726062333307,0
20150309,0,0.4250440556393256,0
20150310,1,0.5088402973352596,0
20150311,0,0.31194272344304824,0
20150312,0,0.43884352169063606,0
20150313,0,0.36156173727304824,0
20150316,0,0.45347931118598367,0
20150317,0,0.42529761904761904,0
20150318,1,0.6846217349571687,0
20150319,0,0.3090020022953403,0
20150320,0,0.4380192450344196,0
20150323,0,0.41946030261827266,0
20150324,0,0.356971612056964,0
20150325,1,0.5012566346336385,0
20150326,0,0.38607817093692776,0
20150327,1,0.6981268057037974,0
20150330,0,0.48719336581877165,0
20150331,0,0.41925819119422114,0
20150401,1,0.7219444698249342,0
20150402,1,0.5384262565523276,0
20150403,1,0.586405283300568,0
20150406,0,0.35990362978615686,0
20150407,1,0.5222726941571909,0
20150408,1,0.566510752688172,0
20150409,1,0.5404143815482068,0
20150410,0,0.4938912603681118,0
20150413,0,0.4484814773311075,0
20150414,1,0.5466776572760395,0
20150415,0,0.29716397849462367,0
20150416,0,0.4115109498344793,0
20150417,0,0.3892857142857143,0
20150420,0,0.464021019864934,0
20150421,0,0.46306173079737634,0
20150422,0,0.4582086154739467,0
20150423,0,0.2992184481859161,0
20150424,0,0.31944230823900166,0
20150427,0,0.38166616871930176,0
20150428,0,0.39582349484483326,0
20150430,0,0.4394842638328239,0
20150501,0,0.46864876655740206,0
20150507,1,0.5148700517620904,0
20150508,0,0.433316166798307,0
20150511,0,0.2781910836913905,0
20150512,0,0.3587173928915587,0
20150513,0,0.345,0
20150514,0,0.4714680698710363,0
20150515,0,0.4412874096016693,0
20150518,0,0.37572416301035644,0
20150519,0,0.4157102947994104,0
20150520,1,0.5067579254070863,0
20150521,0,0.33694444444444444,0
20150522,0,0.4808964368430903,0
20150525,0,0.33520956473060115,0
20150526,0,0.29765166850693164,0
20150527,0,0.46902481907636095,0
20150528,1,0.5078115236998686,0
20150529,1,0.5319905381586347,0
20150601,1,0.6378364549260696,0
20150602,0,0.4118119401195741,0
20150603,1,0.6216059148369221,0
20150604,0,0.36817456726203074,0
20150605,1,0.5153631836490358,0
20150608,0,0.38411487816535284,0
20150609,0,0.4096538985404568,0
20150610,0,0.4571648090183099,0
20150611,0,0.3903739936994083,0
20150612,0,0.27424938030712903,0
20150615,0,0.40646806711736744,0
20150616,0,0.3244110276645676,0
20150617,0,0.2546666666666667,0
20150618,0,0.2633813193606731,0
20150619,0,0.3285684970374657,0
20150622,0,0.4389425384127834,1
20150623,1,0.5249299440397001,1
20150624,1,0.515118901158408,1
20150625,1,0.5144519281490072,1
20150626,0,0.3870699000859539,1
20150629,1,0.7119858296100623,0
20150630,1,0.5320647683570774,0
